,CCN,Facility,Address1,City,State,ZipCode,County,PhoneNumber,CMSRegion,Condition
0,13025,ENCOMPASS HEALTH LAKESHORE REHABILITATION HOSPITAL,BIRMINGHAM,3800 RIDGEWAY DRIVE,A,35209,Jfferson,(205) 868-2000,4,
1,13025,ENCOMPASS HEALTH LAKESHORE REHABILITATION HOSPITAL,BIRMINGHAM,3800 RIDGEWAY DRIVE,AL,35209,Jefferson,(05) 868-2000,4,Brain disease or condition (non-traumatic)
2,13025,ENCOMPASS HEALTH LAKESHORE REHABILITATION HOSPITAL,3800 RIDGEWAY DRIVE,BIRMINGHAM,,35209,Jefferson,,,Brain injury (traumatic)
3,13025,ENCOMPASS HEALTH LAKESHORE REHABILITATION HOSPITAL,3800 RIDGEWAY DRIVE,BIRMINGHAM,AL,35209,Jefferson,(205) 868-2000,4,Hip or femur fracture
4,,ENCOMPASS HEALTH LAKESHORE REHABILITATION HOSPITAL,3800 RIDGEWAY DRIVE,BIRMINGHAM,AL,35209,Jefferson,(205) 868-2000,,
5,13025,ENCOMPASS HEALTH LAKESHORE REHABILITATION HOSPITAL,,BIRMINGHAM,MI,35209,Jefferson,(05) 868-2000,4,Nervous system disorder (excluding stroke)
6,13025,ENCOMPASS HEALTH LAKESHORE REHABILITATION HOSPITAL,3800 RIDGEWAY DRIVE,BIRMINGHAM,AL,35209,Jefferson,(205) 868-2000,6,Spinal cord disease or condition (non-traumatic)
7,13025,ENCOMPASS HEALTH LAKESHORE REHABILITATION HOSPITAL,3800 RIDGEWAY DRIVE,BIRMINGHAM,AL,35209,,(205) 868-2000,4,Spinal cord injury (traumatic)
8,13025,ENCOMPASS HEALTH LAKESHORE REHABILITATION HOSPITAL,3800 RIDGEWAY DRIVE,BIRMINGHAM,AL,35209,Jefferson,(205) 868-2000,,Stroke
9,13028,ENCOMPASS REHABILITATION HOSPITAL OF MONTGOMERY,4465 NARROW LANE RD,MONTGOMERY,,89703,Montgomery,(334) 284-7821,4,All other conditions
10,13028,ENCOMPASS REHABILITATION HOSPITAL OF MONTGOMERY,4465 NARROW LANE RD,MONTGOMERY,AL,3116,,(334) 284-7821,4,Brain disease or condition (non-traumatic)
11,14T116,ENCOMPASS REHABILITATION HOSPITAL OF MONTGOMERY,465 NARROW LANE RD,,AL,36116,Montgomery,(334) 284-7821,4,Brain injury (traumatic)
12,13028,ENCOMPASS REHABILITATION HOSPITAL OF MONTGOMERY,465 NARROW LANE RD,MONTGOMERY,AL,36116,Montgomery,(334) 284-7821,4,Hip or femur fracture
13,13028,ENCOMPASS REHABILITATION HOSPITAL OF MONTGOMERY,4465 NARROW LANE RD,MONTGOMERY,AL,36116,Montgomery,(334) 284-7821,4,"Hip or knee replacement, amputation or other bone or joint condition"
14,13028,ENCOMPASS REHABILITATION HOSPITAL OF MONTGOMERY,4465 NARROW LANE RD,MONTGOMERY,AL,36116,Montgomery,(334) 284-7821,3,Nervous system disorder (excluding stroke)
15,,ENCOMPASS REHABILITATION HOSPITAL OF MONTGOMERY,,MONTGOMERY,AL,3116,Mntgomery,(252) 522-7772,4,Spinal cord disease or condition (non-traumatic)
16,13028,ENCOMPASS REHABILITATION HOSPITAL OF MONTGOMERY,4465 NARROW LANE RD,MONTGOMERY,AL,36116,Montgomery,(334) 284-7821,,Spinal cord injury (traumatic)
17,13028,ST. LUKE'S MAGIC VALLEY REGIONAL MEDICAL CENTER,465 NARROW LANE RD,MONTGOMERY,OH,,Montgomery,(334) 284-7821,4,Stroke
18,13029,ENCOMPASS HEALTH REHABILITATION HOSPITAL NORTH  AL,1490 HIGHWAY 72 E,HUNTSVILLE,,35811,Madison,(205) 535-2300,4,All other conditions
19,13029,ECOMPASS HEALTH REHABILITATION HOSPITAL NORTH  AL,1490 HIGHWAY 72 E,HUNTSVILLE,AL,35811,Madison,(205) 535-2300,4,Brain disease or condition (non-traumatic)
20,13029,ENCOMPASS HEALTH REHABILITATION HOSPITAL NORTH  AL,1490 HIGHWAY 72 E,HUNTSVILLE,AL,35811,Madison,(205) 535-2300,4,Brain injury (traumatic)
21,313025,ENCOMPASS HEALTH REHABILITATION HOSPITAL NORTH  AL,1490 HIGHWAY 72 E,HUNTSVILLE,AL,35811,Madison,(205) 535-2300,4,Hp or femur fracture
22,13029,ENCOMPASS HEALTH REHABILITATION HOSPITAL NORTH  AL,1490 HIGHWAY 72 E,HUNTSVILLE,AL,3811,Madison,(205) 535-2300,,"Hip or knee replacement, amputation or other bone or joint condition"
23,13029,,1490 HIGHWAY 72 E,JOHNSTOWN,AL,35811,Madison,(205) 535-2300,4,Nervous system disorder (excluding stroke)
24,13029,ENCOMPASS HEALTH REHABILITATION HOSPITAL NORTH  AL,1490 HIGHWAY 72 E,HUNTSVILLE,AL,35811,Madison,(205) 535-2300,,Spinal cord disease or condition (non-traumatic)
25,13029,ENCOMPASS HEALTH REHABILITATION HOSPITAL NORTH  AL,1490 HIGHWAY 72 E,HUNTSVILLE,AL,35811,Madison,(205) 535-2300,4,Spinal cord injury (traumatic)
26,13029,CAREPARTNERS  REHABILITATION HOSP,1490 HIGHWAY 72 E,HUNTSVILLE,AL,35811,Madison,(205) 535-2300,4,Stroke
27,13030,ENCOMPASS HEALTH REHABILITATION HOSPITAL OF DOTHAN,1736 EAST MAIN STREET,DOTHAN,AL,36301,Houston,(334) 712-6333,4,All other conditions
28,13030,ENCOMPASS HEALTH REHABILITATION HOSPITAL OF DOTHAN,,DOTHAN,AL,36301,Houston,(334) 712-6333,4,Brain disease or condition (non-traumatic)
29,13030,ENCOMPASS HEALTH REHABILITATION HOSPITAL OF DOTHAN,1736 EAST MAIN STREET,DOTHAN,AL,36301,Houston,(334) 712-6333,4,Brain injury (traumatic)
30,13030,ENCOMPASS HEALTH REHABILITATION HOSPITAL OF DOTHAN,1736 EAST MAIN STREET,DOTHAN,AL,36301,Houston,(334) 712-6333,4,Hip or femur fracture
31,05T158,ST CATHERINE'S REHABILITATION HOSPITAL,1736 EAST MAIN STREET,DOTHAN,AL,91769,Houston,(334) 712-6333,4,"Hip or knee replacement, amputation or other bone or joint condition"
32,19T002,ENCOMPASS HEALTH REHABILITATION HOSPITAL OF DOTHAN,1736 EAST MAIN STREET,DOTHAN,AL,36301,Houston,(334) 712-6333,4,Nervous system disorder (excluding stroke)
33,13030,,1736 EAST MAIN STREET,DOTHAN,AL,36301,Houston,(334) 712-6333,4,Spinal cord disease or condition (non-traumatic)
34,13030,ENCOMPASS HEALTH REHABILITATION HOSPITAL OF DOTHAN,1736 EAST MAIN STREET,DOTHAN,,36301,Houston,,4,Spinal cord injury (traumatic)
35,13030,ENCOMPASS HEALTH REHABILITATION HOSPITAL OF DOTHAN,1736 EAST MAIN STREET,DOTHAN,AL,36301,Houston,(334) 712-6333,9,Stroke
36,13031,ENCOMPASS HEALTH REHABILITATION HOSPITAL OF SHELBY,900 OAK MOUNTAIN COMMONS LANE,PELHAM,AL,3124,Shelby,(205) 216-7621,4,All other conditions
37,13031,,900 OAK MOUNTAIN COMMONS LANE,PELHAM,AL,35124,Shelby,(205) 216-7621,,Brain disease or condition (non-traumatic)
38,13031,ENCOMPASS HEALTH REHABILITATION HOSPITAL OF SHELBY,900 OAK MOUNTAIN COMMONS LANE,PELHAM,AL,35124,Shelby,(205) 216-7621,4,Brain injury (traumatic)
39,,ENCOMPASS HEALTH REHABILITATION HOSPITAL OF SHELBY,900 OAK MOUNTAIN COMMONS LANE,PELHAM,AL,35124,Shelby,(205) 216-7621,4,Hip or femur fracture
40,13031,ENCOMPASS HEALTH REHABILITATION HOSPITAL OF SHELBY,900 OAK MOUNTAIN COMMONS LANE,PELHAM,AL,35124,Selby,(205) 216-7621,4,"Hip or knee replacement, amputation or other bone or joint condition"
41,13031,ECOMPASS HEALTH REHABILITATION HOSPITAL OF SHELBY,900 OAK MOUNTAIN COMMONS LANE,PELHAM,AL,35124,Shelby,(205) 216-7621,4,Nervous system disorder (excluding stroke)
42,13031,ENCOMPASS HEALTH REHABILITATION HOSPITAL OF SHELBY,900 OAK MOUNTAIN COMMONS LANE,PELHAM,AL,35124,Shelby,(205) 216-7621,4,Spinal cord disease or condition (non-traumatic)
43,13031,ENCOMPASS HEALTH REHABILITATION HOSPITAL OF SHELBY,900 OAK MOUNTAIN COMMONS LANE,PELHAM,AL,35124,Shelby,(205) 216-7621,4,Spinal cord injury (traumatic)
44,13031,ENCOMPASS HEALTH REHABILITATION HOSPITAL OF SHELBY,,PELHAM,AL,35124,Shelby,(240) 864-6005,4,Stroke
45,13032,ENCOMPASS HEALTH REHABILITATION HOSPITAL GADSDEN,GADSDEN,801 GOODYEAR AVE,AL,35903,Etowah,(256) 439-5000,9,
46,13032,ENCOMPASS HEALTH REHABILITATION HOSPITAL GADSDEN,801 GOODYEAR AVE,,AL,35903,Etowah,(256) 439-5000,4,Brain disease or condition (non-traumatic)
47,13032,ENCOMPASS HEALTH REHABILITATION HOSPITAL GADSDEN,801 GOODYEAR AVE,GADSDEN,AL,35903,Etowah,(256) 439-5000,4,Brain injury (traumatic)
48,13032,WHITE COUNTY MEDICAL CENTER SOUTH,801 GOODYEAR AVE,GADSDEN,AL,35903,Etowah,(256) 439-5000,4,Hip or femur fracture
49,14T015,ENCOMPASS HEALTH REHABILITATION HOSPITAL GADSDEN,801 GOODYEAR AVE,GADSDEN,AL,35903,Etowah,(256) 439-5000,,"Hip or knee replacement, amputation or other bone or joint condition"
