,CCN,Facility,Address1,City,State,ZipCode,County,PhoneNumber,CMSRegion,Condition
0,13025,MOSS REHAB,BIRMINGHAM,3800 RIDGEWAY DRIVE,,35209,,(205) 868-2000,4,
1,13025,ENCOMPASS HEALTH LAKESHORE REHABILITATION HOSPITAL,BIRMINGHAM,3800 RIDGEWAY DRIVE,A,35209,Jefferson,,4,Brain disease or condition (non-traumatic)
2,13025,ENCOMPASS HEALTH LAKESHORE REHABILITATION HOSPITAL,3800 RIDGEWAY DRIVE,BIRMINGHAM,,35209,Jefferson,,,Spinal cord disease or condition (non-traumatic)
3,13025,ENCOMPASS HEALTH LAKESHORE REHABILITATION HOSPITAL,3800 RIDGEWAY DRIVE,BIRMINGHAM,AL,35209,Jefferson,(205) 868-2000,4,Hip or femur fracture
4,,ENCOMPASS HEALTH LAKESHORE REHABILITATION HOSPITAL,3800 RIDGEWAY DRIVE,BIRMINGHAM,AL,35209,Jefferson,(205) 868-2000,,
5,13025,ENCOMPASS HEALTH LAKESHORE REHABILITATION HOSPITAL,,BIRMINGHAM,A,35209,Jefferson,,4,Nervous system disorder (excluding stroke)
6,13025,ENCOMPASS HEALTH LAKESHORE REHABILITATION HOSPITAL,3800 RIDGEWAY DRIVE,FAIRFIELD,LA,35209,Jefferson,(205) 868-2000,4,Nervous system disorder (excluding stroke)
7,13025,ENCOMPASS HEALTH LAKESHORE REHABILITATION HOSPITAL,3800 RIDGEWAY DRIVE,BRMINGHAM,AL,35209,,(708) 915-4686,4,Spinal cord injury (traumatic)
8,13025,MONTROSE MEMORIAL HOSPITAL,3800 RIDGEWAY DRIVE,BIRMINGHAM,AL,35209,Jefferson,(205) 868-2000,,Nervous system disorder (excluding stroke)
9,13028,ENCOMPASS REHABILITATION HOSPITAL OF MONTGOMERY,4465 NARROW LANE RD,MONTGOMERY,,3116,Montgomery,(334) 284-7821,4,All other conditions
10,13028,ENCOMPASS REHABILITATION HOSPITAL OF MONTGOMERY,4465 NARROW LANE RD,MONTGOMERY,AL,,,(334) 284-7821,4,Brain disease or condition (non-traumatic)
11,1028,ENCOMPASS REHABILITATION HOSPITAL OF MONTGOMERY,,ROME,AL,36116,Montgomery,(334) 284-7821,4,Hip or femur fracture
12,13028,ENCOMPASS REHABILITATION HOSPITAL OF MONTGOMERY,465 NARROW LANE RD,SAN DIEGO,MI,36116,San Juan,(334) 284-7821,4,Hip or femur fracture
13,13028,ENCOMPASS REHABILITATION HOSPITAL OF MONTGOMERY,4465 NARROW LANE RD,MONTGOMERY,AL,36116,Washtenaw,(334) 284-7821,4,"Hip or knee replacement, amputation or other bone or joint condition"
14,13028,"CLEARSKY REHABILITATION HOSPITAL OF ROSEPINE, LLC",465 NARROW LANE RD,MONTGOMERY,AL,36116,Montgomery,(334) 284-7821,4,Spinal cord disease or condition (non-traumatic)
15,,ENCOMPASS REHABILITATION HOSPITAL OF MONTGOMERY,4465 NARROW LANE RD,MONTGOMERY,AL,,,(34) 284-7821,4,Spinal cord disease or condition (non-traumatic)
