,CCN,Facility,Address1,City,State,ZipCode,County,PhoneNumber,CMSRegion,Condition
0,13025,,BIRMINGHAM,3800 RIDGEWAY DRIVE,,3209,,(205) 868-2000,4,
1,1025,ENCOMPASS HEALTH LAKESHORE REHABILITATION HOSPITAL,BIRMINGHAM,3800 RIDGEWAY DRIVE,,68122,Jfferson,,4,Spinal cord injury (traumatic)
2,1025,ENCOMPASS HEALTH LAKESHORE REHABILITATION HOSPITAL,300 RIDGEWAY DRIVE,BIRMINGHAM,,35209,Jfferson,,,
3,13025,ENCOMPASS HEALTH LAKESHORE REHABILITATION HOSPITAL,10000 TELEGRAPH RD,BIRMINGHAM,IN,43952,Jefferson,(205) 868-2000,4,Brain injury (traumatic)
4,,ENCOMPASS HEALTH LAKESHORE REHABILITATION HOSPITAL,10977 CAPITAL PARKWAY,BRMINGHAM,AL,35209,DeKalb,(205) 868-2000,,
5,13025,ENCOMPASS HEALTH LAKESHORE REHABILITATION HOSPITAL,BIRMINGHAM,3800 RIDGEWAY DRIVE,,3209,Hamilton,,3,Nrvous system disorder (excluding stroke)
6,13025,SILVER CROSS HOSPITAL,400 MEDICAL PARK DRIVE,PHOENIX,A,35209,Jefferson,(205) 868-2000,,Sinal cord disease or condition (non-traumatic)
7,363043,ENCOMPASS HEALTH LAKESHORE REHABILITATION HOSPITAL,3800 RIDGEWAY DRIVE,,NV,35209,,,4,Spinal cord injury (traumatic)
8,13025,,,,AL,35209,Jefferson,(205) 868-2000,,
9,1028,ENCOMPASS REHABILITATION HOSPITAL OF MONTGOMERY,4465 NARROW LANE RD,MONTGOMERY,,,Montgomery,(248) 338-5157,,Nervous system disorder (excluding stroke)
10,34T027,ENCOMPASS REHABILITATION HOSPITAL OF MONTGOMERY,MONTGOMERY,4465 NARROW LANE RD,AL,,,(334) 284-7821,4,Brain disease or condition (non-traumatic)
11,,ENCOMPASS REHABILITATION HOSPITAL OF MONTGOMERY,4465 NARROW LANE RD,ALBUQUERQUE,AL,48439,Richmond,(334) 284-7821,4,
12,13028,ECOMPASS REHABILITATION HOSPITAL OF MONTGOMERY,8595 UNITED PLAZA BLVD,ALBUQUERQUE,A,36116,Mntgomery,(717) 920-4300,4,All other conditions
13,13028,ENCOMPASS REHABILITATION HOSPITAL OF MONTGOMERY,MONTGOMERY,4465 NARROW LANE RD,MT,70360,,(334) 284-7821,4,All other conditions
14,13028,,"604 OLD N 63, SUITE 101",MNTGOMERY,A,36116,Alachua,(502) 596-6346,,
15,,ECOMPASS REHABILITATION HOSPITAL OF MONTGOMERY,,,AL,,,,4,Spinal cord disease or condition (non-traumatic)
16,22T046,ENCOMPASS REHABILITATION HOSPITAL OF MONTGOMERY,555 EAST VALLEY PARKWAY,MONTGOMERY,AL,36116,Jackson,(334) 284-7821,,Sinal cord injury (traumatic)
17,,,,MONTGOMERY,,,Montgomery,(34) 284-7821,,Spinal cord disease or condition (non-traumatic)
18,13029,SALINA REGIONAL HEALTH CENTER,1490 HIGHWAY 72 E,CAPE GIRARDEAU,,35811,,(412) 828-1300,5,Al other conditions
19,1029,,,HNTSVILLE,AL,35811,Madison,(05) 535-2300,,Bain disease or condition (non-traumatic)
20,13029,ENCOMPASS HEALTH REHABILITATION HOSPITAL NORTH  AL,190 HIGHWAY 72 E,HUNTSVILLE,AL,3811,Madison,(270) 782-6900,4,Brain injury (traumatic)
21,,ENCOMPASS HEALTH REHABILITATION HOSPITAL NORTH  AL,ONE HOSPITAL PLAZA,HUNTSVILLE,DE,39216,Mdison,(05) 535-2300,,
22,14T054,ENCOMPASS HEALTH REHABILITATION HOSPITAL NORTH  AL,,HUNTSVILLE,CA,,Madison,(205) 535-2300,,Stroke
23,13029,,190 HIGHWAY 72 E,HUNTSVILLE,AL,35811,Madison,(205) 535-2300,4,Nrvous system disorder (excluding stroke)
24,19T176,MERCY REGIONAL MEDICAL CENTER,,IDAHO FALLS,A,35811,Kootenai,(05) 535-2300,,Spinal cord injury (traumatic)
25,26T047,MCLAREN MACOMB,450 STANYAN ST.,CHESTERFIELD,AL,3811,Madison,(732) 460-5320,4,"Hip or knee replacement, amputation or other bone or joint condition"
26,13029,,,LIVERMORE,PA,3811,Mdison,(205) 535-2300,8,Stroke
27,23T013,ENCOMPASS HEALTH REHABILITATION HOSPITAL OF DOTHAN,,DOTHAN,AL,36301,Douglas,,6,Nervous system disorder (excluding stroke)
28,13030,ENCOMPASS HEALTH REHABILITATION HOSPITAL OF DOTHAN,DOTHAN,1736 EAST MAIN STREET,AL,36301,Houston,(34) 712-6333,4,Brain disease or condition (non-traumatic)
29,,ECOMPASS HEALTH REHABILITATION HOSPITAL OF DOTHAN,35470 WHITEWOOD RD,INGLEWOOD,AL,36301,Houston,(334) 712-6333,,Brain disease or condition (non-traumatic)
30,13030,ECOMPASS HEALTH REHABILITATION HOSPITAL OF DOTHAN,,,GA,,Montgomery,(334) 712-6333,4,Hip or femur fracture
31,,,1736 EAST MAIN STREET,HENDERSON,A,,Huston,(334) 712-6333,4,"Hip or knee replacement, amputation or other bone or joint condition"
32,,KING'S DAUGHTER MEDICAL CENTER,DOTHAN,1736 EAST MAIN STREET,A,36301,,(334) 712-6333,4,Spinal cord injury (traumatic)
33,13030,,,DOTHAN,KY,36301,Houston,(870) 863-2664,4,Spinal cord disease or condition (non-traumatic)
34,13030,ENCOMPASS HEALTH REHABILITATION HOSPITAL OF DOTHAN,136 EAST MAIN STREET,DOTHAN,,36301,,,4,Spinal cord injury (traumatic)
35,13030,ENCOMPASS HEALTH REHABILITATION HOSPITAL OF DOTHAN,1401 EAST STATE STREET,ALAMOGORDO,GA,3301,Huston,(502) 596-7152,,Stroke
36,13031,ENCOMPASS HEALTH REHABILITATION HOSPITAL OF SHELBY,PELHAM,900 OAK MOUNTAIN COMMONS LANE,AL,,Shelby,(205) 216-7621,6,Hip or femur fracture
37,1031,,90 OAK MOUNTAIN COMMONS LANE,PLHAM,A,35124,Selby,(205) 216-7621,,Brain disease or condition (non-traumatic)
38,13031,ENCOMPASS HEALTH REHABILITATION HOSPITAL OF SHELBY,900 OAK MOUNTAIN COMMONS LANE,PELHAM,,3124,,(228) 822-6965,6,Brain injury (traumatic)
39,,SAM KARAS ARU - NATIVIDAD,506 6TH ST,PELHAM,A,35124,Selby,(205) 216-7621,4,Brain injury (traumatic)
40,13031,ENCOMPASS HEALTH REHABILITATION HOSPITAL OF SHELBY,900 OAK MOUNTAIN COMMONS LANE,,MA,35124,,(573) 778-5163,,
41,,,PELHAM,900 OAK MOUNTAIN COMMONS LANE,AL,35124,Shelby,(05) 216-7621,4,Nervous system disorder (excluding stroke)
42,1031,ENCOMPASS HEALTH REHABILITATION HOSPITAL OF SHELBY,90 OAK MOUNTAIN COMMONS LANE,PLHAM,,94116,Shelby,(205) 216-7621,,Spinal cord disease or condition (non-traumatic)
43,13031,NORTH OAKLAND MEDICAL CENTERS,PELHAM,900 OAK MOUNTAIN COMMONS LANE,A,3124,Shelby,(05) 216-7621,7,All other conditions
44,13031,ECOMPASS HEALTH REHABILITATION HOSPITAL OF SHELBY,,PELHAM,AL,32504,Dauphin,,4,Stroke
45,13032,ECOMPASS HEALTH REHABILITATION HOSPITAL GADSDEN,GADSDEN,801 GOODYEAR AVE,A,3903,Etowah,(256) 439-5000,,
46,13032,ENCOMPASS HEALTH REHABILITATION HOSPITAL GADSDEN,462 GRIDER ST,CHICAGO,,3903,Morris,(56) 439-5000,4,Brain disease or condition (non-traumatic)
47,1032,ECOMPASS HEALTH REHABILITATION HOSPITAL GADSDEN,GADSDEN,801 GOODYEAR AVE,AL,35209,,(256) 439-5000,4,Bain injury (traumatic)
48,13032,,801 GOODYEAR AVE,GADSDEN,NC,3903,Pueblo,(256) 439-5000,4,Hip or femur fracture
