,CCN,Facility,Address1,City,State,ZipCode,County,PhoneNumber,CMSRegion,Condition
0,13025,ECOMPASS HEALTH LAKESHORE REHABILITATION HOSPITAL,BIRMINGHAM,3800 RIDGEWAY DRIVE,,19607,,(205) 868-2000,4,
1,24T010,ENCOMPASS HEALTH LAKESHORE REHABILITATION HOSPITAL,BIRMINGHAM,3800 RIDGEWAY DRIVE,A,35209,Santa Barbara,,4,Brain disease or condition (non-traumatic)
2,05T017,ENCOMPASS HEALTH LAKESHORE REHABILITATION HOSPITAL,380 SUMMIT AVE,BIRMINGHAM,,35209,Vernon,,,Bain injury (traumatic)
3,13025,ENCOMPASS HEALTH LAKESHORE REHABILITATION HOSPITAL,3800 RIDGEWAY DRIVE,BIRMINGHAM,AL,35209,Jefferson,(205) 868-2000,4,Hip or femur fracture
4,,ENCOMPASS HEALTH LAKESHORE REHABILITATION HOSPITAL,3800 RIDGEWAY DRIVE,VINCENNES,AL,35209,Jefferson,(205) 868-2000,,
5,13025,ENCOMPASS HEALTH LAKESHORE REHABILITATION HOSPITAL,,BIRMINGHAM,,45207,Jefferson,,4,Brain injury (traumatic)
6,13025,ENCOMPASS HEALTH LAKESHORE REHABILITATION HOSPITAL,3800 RIDGEWAY DRIVE,,A,35209,Jefferson,(205) 868-2000,,Sinal cord disease or condition (non-traumatic)
7,13025,ENCOMPASS HEALTH LAKESHORE REHABILITATION HOSPITAL,6161 S. YALE AVE.,,AL,35209,,(05) 868-2000,4,Spinal cord injury (traumatic)
8,11T032,ECOMPASS HEALTH LAKESHORE REHABILITATION HOSPITAL,3800 RIDGEWAY DRIVE,BIRMINGHAM,AL,35209,Jefferson,(205) 868-2000,,Sroke
9,04T041,ENCOMPASS REHABILITATION HOSPITAL OF MONTGOMERY,4465 NARROW LANE RD,MONTGOMERY,,,Montgomery,(334) 284-7821,4,All other conditions
10,13028,ENCOMPASS REHABILITATION HOSPITAL OF MONTGOMERY,15120 KENSINGTON PARK DR,MONTGOMERY,AL,,,(334) 284-7821,4,Brain disease or condition (non-traumatic)
11,,ENCOMPASS REHABILITATION HOSPITAL OF MONTGOMERY,,MNTGOMERY,AL,36116,Montgomery,(334) 284-7821,7,Bain injury (traumatic)
12,13028,BEAUMONT - ROYAL OAK,,,A,36116,Mntgomery,(334) 284-7821,5,Hip or femur fracture
13,13028,ENCOMPASS REHABILITATION HOSPITAL OF MONTGOMERY,4465 NARROW LANE RD,MONTGOMERY,AL,36116,Mntgomery,(334) 284-7821,4,All other conditions
14,13028,ECOMPASS REHABILITATION HOSPITAL OF MONTGOMERY,,MONTGOMERY,CA,36116,Montgomery,(334) 284-7821,,Nrvous system disorder (excluding stroke)
