,CCN,Facility,Address1,City,State,ZipCode,County,PhoneNumber,CMSRegion,Condition
0,13025,,BIRMINGHAM,3800 RIDGEWAY DRIVE,,3209,,(205) 868-2000,4,
1,1025,ENCOMPASS HEALTH LAKESHORE REHABILITATION HOSPITAL,BIRMINGHAM,3800 RIDGEWAY DRIVE,,19001,Jfferson,,4,Stroke
2,1025,ENCOMPASS HEALTH LAKESHORE REHABILITATION HOSPITAL,300 RIDGEWAY DRIVE,BIRMINGHAM,,35209,Jfferson,,,
3,13025,ENCOMPASS HEALTH LAKESHORE REHABILITATION HOSPITAL,3800 RIDGEWAY DRIVE,BIRMINGHAM,CT,15801,Jefferson,(205) 868-2000,4,Stroke
4,,ENCOMPASS HEALTH LAKESHORE REHABILITATION HOSPITAL,3800 RIDGEWAY DRIVE,BRMINGHAM,AL,35209,Bossier,(205) 868-2000,,
5,13025,ENCOMPASS HEALTH LAKESHORE REHABILITATION HOSPITAL,BIRMINGHAM,3800 RIDGEWAY DRIVE,,3209,Adams,,4,Nrvous system disorder (excluding stroke)
6,13025,ENCOMPASS HEALTH LAKESHORE REHABILITATION HOSPITAL,539 E PRUDHOMME ST,BIRMINGHAM,A,35209,Jefferson,(205) 868-2000,,Sinal cord disease or condition (non-traumatic)
7,26T023,ENCOMPASS HEALTH LAKESHORE REHABILITATION HOSPITAL,3800 RIDGEWAY DRIVE,,IL,35209,,,5,Spinal cord injury (traumatic)
8,05T441,,300 RIDGEWAY DRIVE,,AL,35209,Jefferson,(205) 868-2000,,
9,1028,ENCOMPASS REHABILITATION HOSPITAL OF MONTGOMERY,4465 NARROW LANE RD,MONTGOMERY,,,Montgomery,(337) 470-4902,,All other conditions
10,18T093,ENCOMPASS REHABILITATION HOSPITAL OF MONTGOMERY,MONTGOMERY,4465 NARROW LANE RD,AL,,,(334) 284-7821,4,Brain disease or condition (non-traumatic)
11,,ENCOMPASS REHABILITATION HOSPITAL OF MONTGOMERY,600 N LEWIS AVE,INDEPENDENCE,AL,64057,Montgomery,(334) 284-7821,4,
12,13028,ENCOMPASS REHABILITATION HOSPITAL OF MONTGOMERY,465 NARROW LANE RD,MONTGOMERY,A,36116,Mntgomery,(248) 471-8769,4,Nervous system disorder (excluding stroke)
13,13028,ENCOMPASS REHABILITATION HOSPITAL OF MONTGOMERY,MONTGOMERY,4465 NARROW LANE RD,IL,34428,Mntgomery,(334) 284-7821,4,"Hip or knee replacement, amputation or other bone or joint condition"
14,13028,,3104 BLACKISTON BLVD,,A,36116,Alameda,(502) 596-6346,,
15,,ECOMPASS REHABILITATION HOSPITAL OF MONTGOMERY,465 NARROW LANE RD,,AL,,,,4,Spinal cord disease or condition (non-traumatic)
16,113030,ENCOMPASS REHABILITATION HOSPITAL OF MONTGOMERY,500 15TH AVE SO.,MONTGOMERY,AL,36116,Vernon,(334) 284-7821,,Sinal cord injury (traumatic)
17,,,,MONTGOMERY,,,Montgomery,(34) 284-7821,,Nervous system disorder (excluding stroke)
18,13029,ENCOMPASS HEALTH REHABILITATION HOSPITAL NORTH  AL,2275 SW 22ND LANE,HUNTSVILLE,,35811,,(850) 805-2000,2,Al other conditions
19,1029,,190 HIGHWAY 72 E,HNTSVILLE,AL,35811,Madison,(05) 535-2300,,Bain disease or condition (non-traumatic)
20,13029,ENCOMPASS HEALTH REHABILITATION HOSPITAL NORTH  AL,,HUNTSVILLE,AL,3811,Madison,(205) 535-2300,4,Brain injury (traumatic)
21,,ENCOMPASS HEALTH REHABILITATION HOSPITAL NORTH  AL,1490 HIGHWAY 72 E,HUNTSVILLE,PA,14220,Mdison,(05) 535-2300,,
22,33T160,ENCOMPASS HEALTH REHABILITATION HOSPITAL NORTH  AL,190 HIGHWAY 72 E,HUNTSVILLE,AL,,Madison,(205) 535-2300,,Brain disease or condition (non-traumatic)
23,13029,,190 HIGHWAY 72 E,HUNTSVILLE,AL,35811,Madison,(205) 535-2300,4,Nrvous system disorder (excluding stroke)
24,37T019,PIKEVILLE MEDICAL CENTER,,HUNTSVILLE,A,35811,Johnson,(05) 535-2300,,Spinal cord injury (traumatic)
