,CCN,Facility,Address1,City,State,ZipCode,County,PhoneNumber,CMSRegion,Condition
0,13025,ECOMPASS HEALTH LAKESHORE REHABILITATION HOSPITAL,BIRMINGHAM,3800 RIDGEWAY DRIVE,,35209,,(205) 868-2000,4,
1,1025,ENCOMPASS HEALTH LAKESHORE REHABILITATION HOSPITAL,BIRMINGHAM,3800 RIDGEWAY DRIVE,,35209,Jefferson,,4,Brain disease or condition (non-traumatic)
2,39T032,ENCOMPASS HEALTH LAKESHORE REHABILITATION HOSPITAL,300 RIDGEWAY DRIVE,BIRMINGHAM,,35209,Jfferson,,,Bain injury (traumatic)
3,13025,ENCOMPASS HEALTH LAKESHORE REHABILITATION HOSPITAL,3800 RIDGEWAY DRIVE,BIRMINGHAM,FL,27401,Jefferson,(205) 868-2000,4,Hip or femur fracture
4,,ENCOMPASS HEALTH LAKESHORE REHABILITATION HOSPITAL,3800 RIDGEWAY DRIVE,ROCHESTER,AL,35209,Maricopa,(205) 868-2000,,
5,13025,ENCOMPASS HEALTH LAKESHORE REHABILITATION HOSPITAL,BIRMINGHAM,3800 RIDGEWAY DRIVE,,3209,Jefferson,,4,Nrvous system disorder (excluding stroke)
6,13025,ENCOMPASS HEALTH LAKESHORE REHABILITATION HOSPITAL,3800 RIDGEWAY DRIVE,BIRMINGHAM,A,35209,Jefferson,(205) 868-2000,,Sinal cord disease or condition (non-traumatic)
7,05T336,ENCOMPASS HEALTH LAKESHORE REHABILITATION HOSPITAL,3800 RIDGEWAY DRIVE,,AL,35209,,(05) 868-2000,5,Spinal cord injury (traumatic)
8,19T190,ECOMPASS HEALTH LAKESHORE REHABILITATION HOSPITAL,300 RIDGEWAY DRIVE,,AL,35209,Jefferson,(205) 868-2000,,Sroke
9,1028,ENCOMPASS REHABILITATION HOSPITAL OF MONTGOMERY,4465 NARROW LANE RD,MONTGOMERY,,,Montgomery,(334) 284-7821,,All other conditions
10,103052,ENCOMPASS REHABILITATION HOSPITAL OF MONTGOMERY,MONTGOMERY,4465 NARROW LANE RD,AL,,,(334) 284-7821,4,Brain disease or condition (non-traumatic)
11,,ENCOMPASS REHABILITATION HOSPITAL OF MONTGOMERY,1240 MCKEE ROAD,YORK,AL,36116,Montgomery,(334) 284-7821,4,Bain injury (traumatic)
12,13028,COMMUNITY HEALTH NETWORK REHABILITATION HOSP SO,465 NARROW LANE RD,MONTGOMERY,A,36116,Mntgomery,(951) 246-6500,4,Spinal cord injury (traumatic)
13,13028,ENCOMPASS REHABILITATION HOSPITAL OF MONTGOMERY,MONTGOMERY,4465 NARROW LANE RD,CA,60123,Mntgomery,(334) 284-7821,4,Stroke
14,13028,ECOMPASS REHABILITATION HOSPITAL OF MONTGOMERY,325 PARKSIDE DR,,A,36116,Montgomery,(334) 284-7821,,
15,,ECOMPASS REHABILITATION HOSPITAL OF MONTGOMERY,,,AL,,,,4,Spinal cord disease or condition (non-traumatic)
16,13028,ENCOMPASS REHABILITATION HOSPITAL OF MONTGOMERY,4465 NARROW LANE RD,MONTGOMERY,AL,36116,Montgomery,(334) 284-7821,,Sinal cord injury (traumatic)
17,1028,,,MONTGOMERY,,,Montgomery,(34) 284-7821,,Stroke
18,13029,ENCOMPASS HEALTH REHABILITATION HOSPITAL NORTH  AL,169 MARTIN AVENUE,HUNTSVILLE,,35811,Mdison,(610) 402-7062,6,Al other conditions
19,193090,,190 HIGHWAY 72 E,LAWNCREST,AL,35811,Madison,(05) 535-2300,,Bain disease or condition (non-traumatic)
20,13029,ENCOMPASS HEALTH REHABILITATION HOSPITAL NORTH  AL,,HUNTSVILLE,AL,3811,Madison,(205) 535-2300,4,Brain injury (traumatic)
21,,ENCOMPASS HEALTH REHABILITATION HOSPITAL NORTH  AL,1490 HIGHWAY 72 E,HUNTSVILLE,IL,1102,Mdison,(05) 535-2300,,
22,14T239,ENCOMPASS HEALTH REHABILITATION HOSPITAL NORTH  AL,190 HIGHWAY 72 E,HUNTSVILLE,AL,,Madison,(205) 535-2300,,All other conditions
23,13029,,,HUNTSVILLE,AL,35811,Madison,(205) 535-2300,4,Nrvous system disorder (excluding stroke)
24,36T189,ENCOMPASS HEALTH REHABILITATION HOSPITAL NORTH  AL,,HUNTSVILLE,A,35811,Tangipahoa,(05) 535-2300,,"Hip or knee replacement, amputation or other bone or joint condition"
25,13029,ENCOMPASS HEALTH REHABILITATION HOSPITAL NORTH  AL,427 WEST MAIN STREET,MANSFIELD,AL,3811,Madison,(205) 535-2300,4,"Hip or knee replacement, amputation or other bone or joint condition"
26,13029,,190 HIGHWAY 72 E,,CO,72401,Mdison,(205) 535-2300,1,Stroke
27,13030,ENCOMPASS HEALTH REHABILITATION HOSPITAL OF DOTHAN,136 EAST MAIN STREET,DOTHAN,AL,36301,St. Lucie,,4,All other conditions
28,13030,ENCOMPASS HEALTH REHABILITATION HOSPITAL OF DOTHAN,DOTHAN,1736 EAST MAIN STREET,CA,36301,Houston,(34) 712-6333,4,Brain disease or condition (non-traumatic)
29,,ECOMPASS HEALTH REHABILITATION HOSPITAL OF DOTHAN,"6135 ROOSEVELT HIGHWAY, P O BOX 280",DOTHAN,AL,36301,Houston,(334) 712-6333,4,Brain injury (traumatic)
30,13030,GEISINGER ENCOMPASS HEALTH REHABILITATION HOSPITAL,,DTHAN,IL,3301,Calcasieu,(334) 712-6333,3,Hip or femur fracture
