,CCN,Facility,Address1,City,State,ZipCode,County,PhoneNumber,CMSRegion,Condition
0,13025,ENCOMPASS HEALTH LAKESHORE REHABILITATION HOSPITAL,BIRMINGHAM,3800 RIDGEWAY DRIVE,A,35209,Jfferson,(205) 868-2000,4,
1,13025,ENCOMPASS HEALTH LAKESHORE REHABILITATION HOSPITAL,BIRMINGHAM,3800 RIDGEWAY DRIVE,CA,35209,Jefferson,(05) 868-2000,4,Brain disease or condition (non-traumatic)
2,13025,ENCOMPASS HEALTH LAKESHORE REHABILITATION HOSPITAL,3800 RIDGEWAY DRIVE,BIRMINGHAM,,35209,Jefferson,,,Brain injury (traumatic)
3,13025,ENCOMPASS HEALTH LAKESHORE REHABILITATION HOSPITAL,3800 RIDGEWAY DRIVE,BIRMINGHAM,AL,35209,Jefferson,(205) 868-2000,4,Hip or femur fracture
4,,ENCOMPASS HEALTH LAKESHORE REHABILITATION HOSPITAL,3800 RIDGEWAY DRIVE,BIRMINGHAM,AL,35209,Jefferson,(205) 868-2000,,
5,13025,ENCOMPASS HEALTH LAKESHORE REHABILITATION HOSPITAL,,BIRMINGHAM,A,35209,Jefferson,(05) 868-2000,4,Nervous system disorder (excluding stroke)
6,13025,ENCOMPASS HEALTH LAKESHORE REHABILITATION HOSPITAL,3800 RIDGEWAY DRIVE,WARREN,AL,35209,Jefferson,(205) 868-2000,4,Spinal cord disease or condition (non-traumatic)
7,13025,ENCOMPASS HEALTH LAKESHORE REHABILITATION HOSPITAL,3800 RIDGEWAY DRIVE,CARMEL,AL,35209,,(585) 368-3002,4,Spinal cord injury (traumatic)
8,13025,ENCOMPASS HEALTH LAKESHORE REHABILITATION HOSPITAL,3800 RIDGEWAY DRIVE,BIRMINGHAM,AL,35209,Jefferson,(205) 868-2000,,Brain disease or condition (non-traumatic)
9,13028,ENCOMPASS REHABILITATION HOSPITAL OF MONTGOMERY,4465 NARROW LANE RD,MONTGOMERY,,3116,Montgomery,(334) 284-7821,5,All other conditions
10,13028,ENCOMPASS REHABILITATION HOSPITAL OF MONTGOMERY,4465 NARROW LANE RD,MONTGOMERY,AL,3116,,(334) 284-7821,4,Brain disease or condition (non-traumatic)
11,05T382,ENCOMPASS REHABILITATION HOSPITAL OF MONTGOMERY,,MONTGOMERY,AL,36116,Montgomery,(334) 284-7821,4,All other conditions
12,13028,ENCOMPASS REHABILITATION HOSPITAL OF MONTGOMERY,100 MEDICAL BOULEVARD,CANTON,AL,36116,Montgomery,(334) 284-7821,4,Hip or femur fracture
13,13028,ENCOMPASS REHABILITATION HOSPITAL OF MONTGOMERY,4465 NARROW LANE RD,MONTGOMERY,AL,36116,Montgomery,(334) 284-7821,4,"Hip or knee replacement, amputation or other bone or joint condition"
14,13028,ENCOMPASS REHABILITATION HOSPITAL OF MONTGOMERY,3249 S. OAK PARK AVE,MONTGOMERY,AL,36116,Montgomery,(334) 284-7821,4,Hip or femur fracture
15,,ENCOMPASS REHABILITATION HOSPITAL OF MONTGOMERY,,MONTGOMERY,AL,,Mntgomery,(501) 202-7257,4,Spinal cord disease or condition (non-traumatic)
16,13028,ENCOMPASS REHABILITATION HOSPITAL OF MONTGOMERY,4465 NARROW LANE RD,MONTGOMERY,AL,36116,Montgomery,(334) 284-7821,,Spinal cord injury (traumatic)
17,63033,ECOMPASS REHABILITATION HOSPITAL OF MONTGOMERY,,MONTGOMERY,A,,Montgomery,(334) 284-7821,,Stroke
18,13029,ENCOMPASS HEALTH REHABILITATION HOSPITAL NORTH  AL,1490 HIGHWAY 72 E,HUNTSVILLE,,35811,Cook,(205) 535-2300,4,All other conditions
19,13029,ECOMPASS HEALTH REHABILITATION HOSPITAL NORTH  AL,1490 HIGHWAY 72 E,HUNTSVILLE,AL,35811,Madison,(205) 535-2300,4,Brain disease or condition (non-traumatic)
20,13029,ENCOMPASS HEALTH REHABILITATION HOSPITAL NORTH  AL,1490 HIGHWAY 72 E,HUNTSVILLE,AL,35811,Madison,(205) 535-2300,4,Brain injury (traumatic)
21,1029,ENCOMPASS HEALTH REHABILITATION HOSPITAL NORTH  AL,1050 LINDEN AVE,HUNTSVILLE,AL,35811,Madison,(205) 535-2300,4,Hp or femur fracture
22,13029,ENCOMPASS HEALTH REHABILITATION HOSPITAL NORTH  AL,1490 HIGHWAY 72 E,HUNTSVILLE,AL,,Madison,(205) 535-2300,,"Hip or knee replacement, amputation or other bone or joint condition"
23,13029,,1490 HIGHWAY 72 E,HNTSVILLE,AL,35811,Madison,(205) 535-2300,4,Nervous system disorder (excluding stroke)
24,13029,ENCOMPASS HEALTH REHABILITATION HOSPITAL NORTH  AL,1490 HIGHWAY 72 E,HUNTSVILLE,AL,35811,Madison,(205) 535-2300,,Spinal cord disease or condition (non-traumatic)
25,13029,ENCOMPASS HEALTH REHABILITATION HOSPITAL NORTH  AL,1490 HIGHWAY 72 E,HUNTSVILLE,AL,35811,Madison,(205) 535-2300,4,Spinal cord injury (traumatic)
26,13029,NORTHWEST MED CTR ORO VALLEY,6001 E WOODMEN R,HUNTSVILLE,AL,35811,Madison,(205) 535-2300,4,Stroke
27,13030,ENCOMPASS HEALTH REHABILITATION HOSPITAL OF DOTHAN,1736 EAST MAIN STREET,DOTHAN,AL,36301,Houston,(706) 282-4250,4,All other conditions
28,13030,ENCOMPASS HEALTH REHABILITATION HOSPITAL OF DOTHAN,,DOTHAN,AL,36301,Houston,(334) 712-6333,4,Brain disease or condition (non-traumatic)
29,36T234,ENCOMPASS HEALTH REHABILITATION HOSPITAL OF DOTHAN,1736 EAST MAIN STREET,DOTHAN,AL,36301,Houston,(334) 712-6333,4,Brain injury (traumatic)
30,13030,ENCOMPASS HEALTH REHABILITATION HOSPITAL OF DOTHAN,1736 EAST MAIN STREET,DOTHAN,AL,36301,Houston,(334) 712-6333,4,Hip or femur fracture
31,1030,CAREPARTNERS  REHABILITATION HOSP,1736 EAST MAIN STREET,DOTHAN,AL,3301,Houston,(334) 712-6333,4,"Hip or knee replacement, amputation or other bone or joint condition"
32,1030,ENCOMPASS HEALTH REHABILITATION HOSPITAL OF DOTHAN,1736 EAST MAIN STREET,DOTHAN,AL,36301,Houston,(334) 712-6333,4,Nervous system disorder (excluding stroke)
33,13030,,1736 EAST MAIN STREET,DOTHAN,AL,36301,Houston,(334) 712-6333,4,Spinal cord disease or condition (non-traumatic)
34,13030,ENCOMPASS HEALTH REHABILITATION HOSPITAL OF DOTHAN,1736 EAST MAIN STREET,SNELLVILLE,,36301,Johnson,,4,Spinal cord injury (traumatic)
35,13030,ENCOMPASS HEALTH REHABILITATION HOSPITAL OF DOTHAN,1736 EAST MAIN STREET,DOTHAN,AL,36301,Houston,(334) 712-6333,5,Stroke
36,13031,ENCOMPASS HEALTH REHABILITATION HOSPITAL OF SHELBY,900 OAK MOUNTAIN COMMONS LANE,PELHAM,AL,3124,Shelby,(205) 216-7621,4,All other conditions
37,13031,,900 OAK MOUNTAIN COMMONS LANE,PELHAM,AL,35124,Shelby,(205) 216-7621,,Brain disease or condition (non-traumatic)
38,13031,ENCOMPASS HEALTH REHABILITATION HOSPITAL OF SHELBY,900 OAK MOUNTAIN COMMONS LANE,PELHAM,NY,35124,St. Louis,(205) 216-7621,4,Brain injury (traumatic)
39,,ENCOMPASS HEALTH REHABILITATION HOSPITAL OF SHELBY,900 OAK MOUNTAIN COMMONS LANE,PELHAM,AL,35124,Shelby,(205) 216-7621,4,Hip or femur fracture
40,13031,ENCOMPASS HEALTH REHABILITATION HOSPITAL OF SHELBY,900 OAK MOUNTAIN COMMONS LANE,PELHAM,AL,35124,Selby,(205) 216-7621,4,"Hip or knee replacement, amputation or other bone or joint condition"
41,13031,ECOMPASS HEALTH REHABILITATION HOSPITAL OF SHELBY,900 OAK MOUNTAIN COMMONS LANE,PELHAM,AL,35124,Shelby,(205) 216-7621,4,Nervous system disorder (excluding stroke)
42,13031,ENCOMPASS HEALTH REHABILITATION HOSPITAL OF SHELBY,900 OAK MOUNTAIN COMMONS LANE,PELHAM,AL,35124,Shelby,(205) 216-7621,,Spinal cord disease or condition (non-traumatic)
43,13031,ENCOMPASS HEALTH REHABILITATION HOSPITAL OF SHELBY,900 OAK MOUNTAIN COMMONS LANE,PELHAM,AL,35124,Shelby,(205) 216-7621,4,Spinal cord injury (traumatic)
44,13031,ENCOMPASS HEALTH REHABILITATION HOSPITAL OF SHELBY,900 OAK MOUNTAIN COMMONS LANE,PELHAM,AL,35124,Shelby,(05) 216-7621,4,Stroke
45,13032,ENCOMPASS HEALTH REHABILITATION HOSPITAL GADSDEN,GADSDEN,801 GOODYEAR AVE,AL,35903,Etowah,(256) 439-5000,4,
46,13032,ENCOMPASS HEALTH REHABILITATION HOSPITAL GADSDEN,801 GOODYEAR AVE,,KY,35903,Etowah,(256) 439-5000,4,Brain disease or condition (non-traumatic)
47,13032,ENCOMPASS HEALTH REHABILITATION HOSPITAL GADSDEN,801 GOODYEAR AVE,GADSDEN,AL,35903,Forrest,(256) 439-5000,4,Brain injury (traumatic)
48,13032,ECOMPASS HEALTH REHABILITATION HOSPITAL GADSDEN,801 GOODYEAR AVE,GADSDEN,AL,35903,Etowah,(256) 439-5000,4,Hip or femur fracture
49,39T157,ENCOMPASS HEALTH REHABILITATION HOSPITAL GADSDEN,801 GOODYEAR AVE,GADSDEN,AL,35903,Etowah,(256) 439-5000,,"Hip or knee replacement, amputation or other bone or joint condition"
50,13032,ECOMPASS HEALTH REHABILITATION HOSPITAL GADSDEN,801 GOODYEAR AVE,,AL,35903,Etowah,(256) 439-5000,4,Nervous system disorder (excluding stroke)
51,13032,ENCOMPASS HEALTH REHABILITATION HOSPITAL GADSDEN,81 GOODYEAR AVE,GADSDEN,AL,35903,Etowah,(256) 439-5000,,Spinal cord disease or condition (non-traumatic)
52,13032,ENCOMPASS HEALTH REHABILITATION HOSPITAL GADSDEN,801 GOODYEAR AVE,GADSDEN,AL,35903,Etowah,(256) 439-5000,4,Spinal cord injury (traumatic)
53,13032,ENCOMPASS HEALTH REHABILITATION HOSPITAL GADSDEN,801 GOODYEAR AVE,GADSDEN,CA,35903,Saginaw,(765) 747-4228,5,Stroke
54,05T073,REGIONAL REHABILITATION HOSPITAL,,PHENIX CITY,AL,,Russell,(334) 732-2200,4,All other conditions
55,13033,REGIONAL REHABILITATION HOSPITAL,3715 US HIGHWAY 431 NORTH,PHENIX CITY,AL,36867,Russell,(334) 732-2200,4,Brain disease or condition (non-traumatic)
56,,RGIONAL REHABILITATION HOSPITAL,3715 US HIGHWAY 431 NORTH,PHENIX CITY,AL,36867,San Diego,(334) 732-2200,4,Brain injury (traumatic)
57,13033,REGIONAL REHABILITATION HOSPITAL,1199 PLEASANT VALLEY WAY,,AL,3867,Russell,(334) 732-2200,4,Hip or femur fracture
58,1033,EVEREST REHABILITATION HOSPITAL NORTHERN CINCINNAT,3715 US HIGHWAY 431 NORTH,PHENIX CITY,AL,36867,Russell,(334) 732-2200,7,"Hip or knee replacement, amputation or other bone or joint condition"
59,1033,REGIONAL REHABILITATION HOSPITAL,3715 US HIGHWAY 431 NORTH,PHENIX CITY,AL,36867,Russell,(334) 732-2200,4,Nervous system disorder (excluding stroke)
60,13033,REGIONAL REHABILITATION HOSPITAL,3715 US HIGHWAY 431 NORTH,PHENIX CITY,AL,36867,Russell,(626) 397-2618,5,Spinal cord disease or condition (non-traumatic)
61,13033,,23625 HOLMAN HWY,PHENIX CITY,AL,36867,Russell,(334) 732-2200,4,Spinal cord injury (traumatic)
62,13033,REGIONAL REHABILITATION HOSPITAL,3715 US HIGHWAY 431 NORTH,PHENIX CITY,AL,36867,,(334) 732-2200,4,Stroke
63,01T011,ST. VINCENTS EAST REHABILITATION CENTER,50 MEDICAL PARK EAST DRIVE,BIRMINGHAM,AL,35235,Jefferson,(270) 782-6900,4,All other conditions
64,01T011,ST. VINCENTS EAST REHABILITATION CENTER,50 MEDICAL PARK EAST DRIVE,BIRMINGHAM,,35235,Jefferson,(205) 838-3672,4,Brain disease or condition (non-traumatic)
65,01T011,,BIRMINGHAM,50 MEDICAL PARK EAST DRIVE,AL,35235,Jefferson,(05) 838-3672,4,Brain injury (traumatic)
66,01T011,ST. VINCENTS EAST REHABILITATION CENTER,50 MEDICAL PARK EAST DRIVE,BIRMINGHAM,AL,35235,Jefferson,(205) 838-3672,4,Hip or femur fracture
67,01T011,ST. VINCENTS EAST REHABILITATION CENTER,50 MEDICAL PARK EAST DRIVE,MIAMISBURG,MS,35235,Jefferson,(205) 838-3672,4,
68,01T011,ST. VINCENTS EAST REHABILITATION CENTER,50 MEDICAL PARK EAST DRIVE,BIRMINGHAM,AL,35235,Jefferson,(205) 838-3672,4,Nervous system disorder (excluding stroke)
69,0T011,S. VINCENTS EAST REHABILITATION CENTER,50 MEDICAL PARK EAST DRIVE,BIRMINGHAM,A,3235,Jefferson,(205) 838-3672,4,
70,0T011,ST. VINCENTS EAST REHABILITATION CENTER,50 MEDICAL PARK EAST DRIVE,BIRMINGHAM,AL,35235,Jefferson,(205) 838-3672,4,Spinal cord injury (traumatic)
71,01T011,ST. VINCENTS EAST REHABILITATION CENTER,50 MEDICAL PARK EAST DRIVE,BRMINGHAM,AL,35235,Jefferson,(260) 435-6100,4,Stroke
72,01T029,EAMC- LANIER,2000 PEPPERELL PARKWAY.,OVERLAND PARK,AL,36801,,(02) 596-6346,4,All other conditions
73,01T029,ERIE COUNTY MEDICAL CENTER,200 PEPPERELL PARKWAY.,OPELIKA,A,,Lee,(502) 596-6346,4,Stroke
74,01T029,EAMC- LANIER,2000 PEPPERELL PARKWAY.,OPELIKA,AL,36801,Lee,(502) 596-6346,,Brain disease or condition (non-traumatic)
75,01T029,EAMC- LANIER,2000 PEPPERELL PARKWAY.,OPELIKA,MN,36801,Lee,(502) 596-6346,4,Brain disease or condition (non-traumatic)
76,01T029,EAMC- LANIER,200 PEPPERELL PARKWAY.,,AL,36801,Lee,(502) 596-6346,4,"Hip or knee replacement, amputation or other bone or joint condition"
77,28T003,EAMC- LANIER,200 PEPPERELL PARKWAY.,OPELIKA,AL,3801,Duval,(502) 596-6346,4,Nervous system disorder (excluding stroke)
78,10T006,EAMC- LANIER,OPELIKA,2000 PEPPERELL PARKWAY.,AL,36801,Lee,(502) 596-6346,4,Spinal cord disease or condition (non-traumatic)
79,01T029,,2000 PEPPERELL PARKWAY.,OPELIKA,AL,36801,Lee,(856) 988-8778,4,
80,01T029,EMC- LANIER,2000 PEPPERELL PARKWAY.,,AL,36801,Lee,(502) 596-6346,2,
81,01T033,SPAIN REHABILITATION CENTER,SRC 223E,BIRMINGHAM,,,Jefferson,,4,All other conditions
82,01T033,SPAIN REHABILITATION CENTER,SRC 223E,BIRMINGHAM,AL,35249,Jefferson,,4,Brain disease or condition (non-traumatic)
83,01T033,SPAIN REHABILITATION CENTER,SRC 223E,BIRMINGHAM,AL,35249,Jefferson,(205) 934-4940,4,Brain disease or condition (non-traumatic)
84,01T033,MARY FREE BED AT MUNSON,1225 WILSHIRE BLVD,BIRMINGHAM,,35249,Jefferson,(205) 934-4940,4,Hip or femur fracture
85,,SPAIN REHABILITATION CENTER,SC 223E,BIRMINGHAM,AL,35249,Jefferson,(205) 934-4940,4,"Hip or knee replacement, amputation or other bone or joint condition"
86,01T033,SPAIN REHABILITATION CENTER,SRC 223E,LA PALMA,AL,35249,Jefferson,(205) 934-4940,4,Nervous system disorder (excluding stroke)
87,01T033,SAIN REHABILITATION CENTER,SRC 223E,TOMS RIVER,NM,35249,,(205) 934-4940,4,Spinal cord disease or condition (non-traumatic)
