,CCN,Facility,Address1,City,State,ZipCode,County,PhoneNumber,CMSRegion,Condition
0,13025,ECOMPASS HEALTH LAKESHORE REHABILITATION HOSPITAL,BIRMINGHAM,3800 RIDGEWAY DRIVE,,81502,,(205) 868-2000,4,
1,1025,ENCOMPASS HEALTH LAKESHORE REHABILITATION HOSPITAL,BIRMINGHAM,3800 RIDGEWAY DRIVE,,35209,Mecosta,,4,Brain disease or condition (non-traumatic)
2,19T008,ENCOMPASS HEALTH LAKESHORE REHABILITATION HOSPITAL,900 HOSPITAL DRIVE,BIRMINGHAM,,35209,Muscogee,,,Bain injury (traumatic)
3,13025,ENCOMPASS HEALTH LAKESHORE REHABILITATION HOSPITAL,3800 RIDGEWAY DRIVE,BIRMINGHAM,IN,35209,Jefferson,(205) 868-2000,4,Hip or femur fracture
4,,ENCOMPASS HEALTH LAKESHORE REHABILITATION HOSPITAL,3800 RIDGEWAY DRIVE,GAINESVILLE,AL,35209,Reno,(205) 868-2000,,
5,13025,ENCOMPASS HEALTH LAKESHORE REHABILITATION HOSPITAL,BIRMINGHAM,3800 RIDGEWAY DRIVE,,72401,Jefferson,,4,Spinal cord disease or condition (non-traumatic)
6,13025,ENCOMPASS HEALTH LAKESHORE REHABILITATION HOSPITAL,,BIRMINGHAM,A,35209,Jefferson,(205) 868-2000,,Sinal cord disease or condition (non-traumatic)
7,19T176,ENCOMPASS HEALTH LAKESHORE REHABILITATION HOSPITAL,3800 RIDGEWAY DRIVE,,AL,35209,,(05) 868-2000,4,Spinal cord injury (traumatic)
8,25T099,ECOMPASS HEALTH LAKESHORE REHABILITATION HOSPITAL,300 RIDGEWAY DRIVE,,AL,35209,Jefferson,(205) 868-2000,,Sroke
9,33T219,ENCOMPASS REHABILITATION HOSPITAL OF MONTGOMERY,4465 NARROW LANE RD,MONTGOMERY,,,Montgomery,(334) 284-7821,4,All other conditions
10,39T133,ENCOMPASS REHABILITATION HOSPITAL OF MONTGOMERY,10020 EAST 91ST DRIVE,MONTGOMERY,AL,,,(334) 284-7821,4,Brain disease or condition (non-traumatic)
11,,ENCOMPASS REHABILITATION HOSPITAL OF MONTGOMERY,2650 NORTH WYATT DRIVE,MONTGOMERY,AL,36116,Montgomery,(334) 284-7821,4,Bain injury (traumatic)
12,13028,GRANDVIEW MEDICAL CENTER,4465 NARROW LANE RD,,A,36116,Mntgomery,(334) 284-7821,4,Hip or femur fracture
13,13028,ENCOMPASS REHABILITATION HOSPITAL OF MONTGOMERY,,,AL,66213,Mntgomery,(334) 284-7821,4,Spinal cord injury (traumatic)
14,13028,ECOMPASS REHABILITATION HOSPITAL OF MONTGOMERY,4465 NARROW LANE RD,MONTGOMERY,AL,36116,Montgomery,(334) 284-7821,,Nrvous system disorder (excluding stroke)
15,,MERCY HOSPITAL SOUTH,,MONTGOMERY,AL,,,,4,Spinal cord disease or condition (non-traumatic)
16,13028,ENCOMPASS REHABILITATION HOSPITAL OF MONTGOMERY,525 N. GARFIELD AVENUE,MONTGOMERY,AL,36116,Montgomery,(334) 284-7821,,Sinal cord injury (traumatic)
17,1028,,POB 2144,FARMINGTON HILLS,,,Montgomery,(909) 473-1275,,Stroke
18,13029,ENCOMPASS HEALTH REHABILITATION HOSPITAL NORTH  AL,,HUNTSVILLE,,35811,Mdison,(941) 921-8600,4,"Hip or knee replacement, amputation or other bone or joint condition"
19,01T104,,1490 HIGHWAY 72 E,HUNTSVILLE,AL,35811,Madison,(05) 535-2300,,Bain disease or condition (non-traumatic)
20,13029,ENCOMPASS HEALTH REHABILITATION HOSPITAL NORTH  AL,190 HIGHWAY 72 E,HUNTSVILLE,AL,33064,Madison,(205) 535-2300,4,Brain injury (traumatic)
21,,ENCOMPASS HEALTH REHABILITATION HOSPITAL NORTH  AL,,HUNTSVILLE,AL,1056,Mecklenburg,(319) 645-4001,4,
22,05T336,ENCOMPASS HEALTH REHABILITATION HOSPITAL NORTH  AL,,HUNTSVILLE,AL,,Madison,(205) 535-2300,,Hip or femur fracture
