,CCN,Facility,Address1,City,State,ZipCode,County,PhoneNumber,CMSRegion,Condition
0,13025,ECOMPASS HEALTH LAKESHORE REHABILITATION HOSPITAL,BIRMINGHAM,3800 RIDGEWAY DRIVE,,17901,,(205) 868-2000,4,
1,43028,ENCOMPASS HEALTH LAKESHORE REHABILITATION HOSPITAL,BIRMINGHAM,3800 RIDGEWAY DRIVE,A,35209,Lycoming,,4,Brain disease or condition (non-traumatic)
2,343025,ENCOMPASS HEALTH LAKESHORE REHABILITATION HOSPITAL,4200 HOUMA BLVD.,BIRMINGHAM,,35209,Delaware,,,Bain injury (traumatic)
3,13025,ENCOMPASS HEALTH LAKESHORE REHABILITATION HOSPITAL,3800 RIDGEWAY DRIVE,BIRMINGHAM,AL,35209,Jefferson,(205) 868-2000,4,Hip or femur fracture
4,,ENCOMPASS HEALTH LAKESHORE REHABILITATION HOSPITAL,3800 RIDGEWAY DRIVE,BIRMINGHAM,AL,35209,Jefferson,(205) 868-2000,,
5,13025,ENCOMPASS HEALTH LAKESHORE REHABILITATION HOSPITAL,,BIRMINGHAM,,33774,Jefferson,,4,Spinal cord injury (traumatic)
6,13025,ENCOMPASS HEALTH LAKESHORE REHABILITATION HOSPITAL,3800 RIDGEWAY DRIVE,BRMINGHAM,NJ,35209,Jefferson,(205) 868-2000,,Brain injury (traumatic)
7,13025,ENCOMPASS HEALTH LAKESHORE REHABILITATION HOSPITAL,102 IRVING STREET NW,,AL,35209,,(05) 868-2000,4,Spinal cord injury (traumatic)
8,13025,ECOMPASS HEALTH LAKESHORE REHABILITATION HOSPITAL,3800 RIDGEWAY DRIVE,BIRMINGHAM,AL,35209,Jefferson,(205) 868-2000,,Sroke
9,19T025,ENCOMPASS REHABILITATION HOSPITAL OF MONTGOMERY,4465 NARROW LANE RD,MONTGOMERY,,,Montgomery,(334) 284-7821,4,All other conditions
10,13028,ENCOMPASS REHABILITATION HOSPITAL OF MONTGOMERY,4465 NARROW LANE RD,MONTGOMERY,AL,,,(334) 284-7821,4,Brain disease or condition (non-traumatic)
11,,ENCOMPASS REHABILITATION HOSPITAL OF MONTGOMERY,,MNTGOMERY,AL,36116,Montgomery,(334) 284-7821,7,Bain injury (traumatic)
12,13028,ENCOMPASS REHABILITATION HOSPITAL OF MONTGOMERY,,MNTGOMERY,GA,36116,Twin Falls,(334) 284-7821,7,Hip or femur fracture
13,13028,ENCOMPASS REHABILITATION HOSPITAL OF MONTGOMERY,4465 NARROW LANE RD,MONTGOMERY,AL,36116,Wayne,(334) 284-7821,4,"Hip or knee replacement, amputation or other bone or joint condition"
14,13028,ECOMPASS REHABILITATION HOSPITAL OF MONTGOMERY,,MONTGOMERY,LA,36116,Montgomery,(334) 284-7821,,Nrvous system disorder (excluding stroke)
15,,SILVER CROSS HOSPITAL,4465 NARROW LANE RD,MONTGOMERY,AL,,,,4,Spinal cord disease or condition (non-traumatic)
